description,filename,id,species,source,species_code,cleaned_filename,contigs_greater_0_bp,contigs_greater_1000_bp,contigs_greater_5000_bp,contigs_greater_10000_bp,contigs_greater_25000_bp,contigs_greater_50000_bp,total_length_greater_0_bp,total_length_greater_1000_bp,total_length_greater_5000_bp,total_length_greater_10000_bp,total_length_greater_25000_bp,total_length_greater_50000_bp,total_contigs,largest_contig,total_length,N50,N75,L50,L75,number_Ns_per_100_kbp
"Pseudomonas aeruginosa strain MRSN1948 MRSN1948_contig00001, whole genome shotgun sequence",GCF_003969155.1_ASM396915v1_genomic.fna,NZ_RXUY01000001.1,aeruginosa,REFSEQ,1,1_RXUY01000001,260,175,127,114,87,46,6674435,6635667,6516849,6431997,5971307,4484148,208,306331,6658362,82219,43529,27,57,0.0
"Pseudomonas brassicacearum strain LBUM300, complete genome",GCF_001449085.1_ASM144908v1_genomic.fna,NZ_CP012680.1,brassicacearum,REFSEQ,24,24_CP012680,1,1,1,1,1,1,6976764,6976764,6976764,6976764,6976764,6976764,1,6976764,6976764,6976764,6976764,1,1,0.0
"Pseudomonas lundensis strain AU11235 Contig_1, whole genome shotgun sequence",GCF_001020645.1_ASM102064v1_genomic.fna,NZ_LCYX01000037.1,lundensis,REFSEQ,18,18_LCYX01000037,61,30,20,20,18,18,4839509,4826456,4806442,4806442,4772262,4772262,39,694054,4832681,291397,236471,5,9,4.84
"Pseudomonas aeruginosa strain WH-SGI-V-07503 WH-SGI-V-07503_contig1, whole genome shotgun sequence",GCF_001453235.1_WH-SGI-V-07503_genomic.fna,NZ_LLQJ01000001.1,aeruginosa,REFSEQ,1,1_LLQJ01000001,64,47,38,35,31,23,6751624,6745531,6727357,6709223,6642101,6296237,50,670749,6747485,380603,208918,7,13,1.02
"Pseudomonas sp. 286 isolate p26.H7, whole genome shotgun sequence",GCF_900588725.1_p26.H7_genomic.fna,NZ_UUGM01000021.1,sp.,REFSEQ,4,4_UUGM01000021,21,16,16,15,15,15,5906707,5905332,5905332,5899853,5899853,5899853,16,831597,5905332,484565,347228,5,8,0.02
"Pseudomonas syringae pv. syringae B728a chromosome, complete genome",GCF_000012245.1_ASM1224v1_genomic.fna,NC_007005.1,syringae,REFSEQ,0,0_007005,1,1,1,1,1,1,6093698,6093698,6093698,6093698,6093698,6093698,1,6093698,6093698,6093698,6093698,1,1,0.0
"Pseudomonas aeruginosa DQ8 contig000001, whole genome shotgun sequence",GCF_000283055.1_DQ8_genomic.fna,NZ_ALIO01000001.1,aeruginosa,REFSEQ,1,1_ALIO01000001,376,318,209,159,92,28,6776640,6733363,6454672,6106387,5041980,2674358,376,279897,6776640,43073,23919,44,94,0.0
"Pseudomonas aeruginosa strain A19 IPC694_1.1, whole genome shotgun sequence",GCF_003837725.1_ASM383772v1_genomic.fna,NZ_NSUT01000001.1,aeruginosa,REFSEQ,1,1_NSUT01000001,37,34,30,29,25,20,6277530,6275333,6267642,6262388,6184807,5990920,37,774370,6277530,451132,235593,6,10,2.45
"Pseudomonas trivialis strain LMG 21464 452, whole genome shotgun sequence",GCF_001730655.1_ASM173065v1_genomic.fna,NZ_MDFJ01000001.1,trivialis,REFSEQ,48,48_MDFJ01000001,60,57,48,46,42,31,5771274,5769633,5748549,5733554,5666456,5260908,59,594600,5770912,198087,105148,10,19,0.03
"Pseudomonas sp. AP42 contig00001, whole genome shotgun sequence",GCF_001728935.1_ASM172893v1_genomic.fna,NZ_LYSO01000001.1,sp.,REFSEQ,4,4_LYSO01000001,227,221,191,167,91,38,6769133,6764948,6675133,6489394,5222016,3378206,227,206439,6769133,49127,27076,39,86,0.0
"Pseudomonas aeruginosa strain AR_0054 scaffold00001, whole genome shotgun sequence",GCF_001875165.1_ASM187516v1_genomic.fna,NZ_MPBV01000001.1,aeruginosa,REFSEQ,1,1_MPBV01000001,9,9,8,8,5,4,7267705,7267705,7264508,7264508,7225972,7199953,9,2863301,7267705,2172972,1929259,2,3,0.0
"Pseudomonas sp. 286 isolate p26.F4, whole genome shotgun sequence",GCF_900588515.1_p26.F4_genomic.fna,NZ_UUFK01000041.1,sp.,REFSEQ,4,4_UUFK01000041,41,35,32,32,31,26,5982486,5980613,5973767,5973767,5961556,5794447,37,998417,5981782,315924,177950,6,13,0.0
"Pseudomonas stutzeri strain 19SMN4, complete genome",GCF_000661915.1_ASM66191v1_genomic.fna,NZ_CP007509.1,stutzeri,REFSEQ,2,2_CP007509,2,2,2,2,2,2,4833395,4833395,4833395,4833395,4833395,4833395,2,4725662,4833395,4725662,4725662,1,1,0.0
"Pseudomonas aeruginosa strain PPF-1 chromosome, complete genome",GCF_002287725.2_ASM228772v2_genomic.fna,NZ_CP023316.1,aeruginosa,REFSEQ,1,1_CP023316,1,1,1,1,1,1,6930893,6930893,6930893,6930893,6930893,6930893,1,6930893,6930893,6930893,6930893,1,1,0.0
"Pseudomonas aeruginosa strain VET-76 PA2_C10_NODE_100_length_17567_cov_40.7427_ID_199, whole genome shotgun sequence",GCF_003630045.1_ASM363004v1_genomic.fna,NZ_RADS01000206.1,aeruginosa,REFSEQ,1,1_RADS01000206,471,468,282,179,60,28,6452153,6449250,5963451,5211752,3318045,2243354,471,173514,6452153,26156,12457,57,146,0.0
"Pseudomonas asplenii strain ES_PA-B6 Ga0181147_11, whole genome shotgun sequence",GCF_004346765.1_ASM434676v1_genomic.fna,NZ_SMFW01000001.1,asplenii,REFSEQ,90,90_SMFW01000001,1,1,1,1,1,1,7673865,7673865,7673865,7673865,7673865,7673865,1,7673865,7673865,7673865,7673865,1,1,0.0
"Pseudomonas sp. 286 isolate p22.A5, whole genome shotgun sequence",GCF_900585185.1_p22.A5_genomic.fna,NZ_UTSR01000039.1,sp.,REFSEQ,4,4_UTSR01000039,39,32,27,27,24,23,5982282,5979884,5970360,5970360,5911881,5886655,34,977641,5981353,315988,208457,7,13,0.0
"Pseudomonas aeruginosa strain AZPAE15042 chromosome, complete genome",GCF_006971785.1_ASM697178v1_genomic.fna,NZ_CP041354.1,aeruginosa,REFSEQ,1,1_CP041354,2,2,2,2,2,2,6712466,6712466,6712466,6712466,6712466,6712466,2,6527298,6712466,6527298,6527298,1,1,0.0
"Pseudomonas coronafaciens pv. porri strain LMG 28495 contig_1, whole genome shotgun sequence",GCF_001275725.1_ASM127572v1_genomic.fna,NZ_JTHM01000001.1,coronafaciens,REFSEQ,63,63_JTHM01000001,274,183,105,83,55,36,6006530,5964313,5775261,5607680,5166077,4459525,218,350141,5988295,116679,48053,16,37,0.0
"Pseudomonas aeruginosa CIG1 Contig0001, whole genome shotgun sequence",GCF_000295475.1_PaCIG1.1_genomic.fna,NZ_AKBD01000001.1,aeruginosa,REFSEQ,1,1_AKBD01000001,544,377,263,201,90,21,6536241,6453743,6146816,5694848,3851668,1422400,448,109002,6502460,29475,16480,69,140,0.0
"Pseudomonas aeruginosa isolate 157, whole genome shotgun sequence",GCF_900144995.1_157_genomic.fna,NZ_FRJO01000132.1,aeruginosa,REFSEQ,1,1_FRJO01000132,132,109,93,82,69,47,6603030,6587764,6552039,6469174,6248499,5384997,127,298249,6600769,105944,63428,20,40,0.0
"Pseudomonas aeruginosa strain SJU-W20_3 NODE_100_length_320_cov_61.7283, whole genome shotgun sequence",GCF_002329725.1_ASM232972v1_genomic.fna,NZ_NRES01000099.1,aeruginosa,REFSEQ,1,1_NRES01000099,108,74,49,43,38,31,6510398,6495022,6440488,6406415,6318401,6017805,84,660615,6502207,225877,133162,10,19,0.0
"Pseudomonas fluorescens isolate PS664, whole genome shotgun sequence",GCF_902497655.1_PS664_genomic.fna,NZ_CABVGU010000001.1,fluorescens,REFSEQ,9,9_CABVGU010000001,88,85,67,64,54,43,6598104,6596220,6559915,6537737,6363803,5941832,88,690227,6598104,134233,80426,13,29,3.7
"Pseudomonas sp. 286 isolate p4.A6, whole genome shotgun sequence",GCF_900590645.1_p4.A6_genomic.fna,NZ_UUNL01000165.1,sp.,REFSEQ,4,4_UUNL01000165,165,153,126,111,70,33,5921114,5915538,5835032,5723314,5052777,3759091,158,297261,5919148,81883,35812,21,50,0.0
"Pseudomonas sp. 286 isolate p2.C7, whole genome shotgun sequence",GCF_900589315.1_p2.C7_genomic.fna,NZ_UUIM01000029.1,sp.,REFSEQ,4,4_UUIM01000029,30,20,19,17,17,16,5973781,5971175,5968805,5957473,5957473,5912428,20,1218109,5971175,474208,237757,4,9,0.0
"Pseudomonas sp. GW456-E6 NODE_100_length_1387_cov_81.1053, whole genome shotgun sequence",GCF_002883035.1_GW456-E6_genomic.fna,NZ_POEQ01000100.1,sp.,REFSEQ,4,4_POEQ01000100,171,106,89,78,62,48,6976540,6958015,6925843,6847833,6577723,6019719,107,407672,6958834,119399,70200,17,35,0.0
"Pseudomonas aeruginosa strain CCUG 59626 contig_1, whole genome shotgun sequence",GCF_008180925.1_ASM818092v1_genomic.fna,NZ_VTBE01000001.1,aeruginosa,REFSEQ,1,1_VTBE01000001,38,29,27,22,20,17,6635126,6629380,6627001,6593661,6549980,6439809,38,1126476,6635126,688001,268415,5,8,0.65
"Pseudomonas aeruginosa strain WH-SGI-V-07305 WH_SGI_V_07305_1, whole genome shotgun sequence",GCF_001454725.1_WH-SGI-V-07305_genomic.fna,NZ_LLUW01000001.1,aeruginosa,REFSEQ,1,1_LLUW01000001,56,41,32,29,25,18,6881268,6874690,6852950,6834789,6761637,6473732,45,765373,6877270,433790,260842,6,10,1.29
"Pseudomonas savastanoi pv. phaseolicola strain 528 Contig_1, whole genome shotgun sequence",GCF_003413365.1_ASM341336v1_genomic.fna,NZ_QPBI01000001.1,savastanoi,REFSEQ,8,8_QPBI01000001,198,198,145,127,87,46,6003791,6003791,5867776,5734690,5069473,3616894,198,154713,6003791,59168,33191,35,67,64.66
"Pseudomonas aeruginosa isolate TSB Bead DWL Pool 2, whole genome shotgun sequence",GCF_001374335.1_293_Tsb_Bead_Dwl_Pool_2_contigs_500_genomic.fna,NZ_CUYG01000001.1,aeruginosa,REFSEQ,1,1_CUYG01000001,218,154,74,69,58,38,7020645,6974970,6810411,6779804,6581923,5843099,218,536430,7020645,137755,77002,13,29,0.0
"Pseudomonas sp. FW215-L1 NODE_100_length_271_cov_0.752577, whole genome shotgun sequence",GCF_002882435.1_FW215-L1_genomic.fna,NZ_POFN01000100.1,sp.,REFSEQ,4,4_POFN01000100,124,70,61,53,48,40,6523743,6506099,6485568,6430009,6336342,6058953,74,503415,6509132,147904,97109,12,25,0.0
"Pseudomonas sp. 286 isolate p26.F2, whole genome shotgun sequence",GCF_900588545.1_p26.F2_genomic.fna,NZ_UUFL01000056.1,sp.,REFSEQ,4,4_UUFL01000056,58,53,51,48,40,31,5954690,5953505,5949721,5926685,5799377,5455711,53,809808,5953505,211265,106452,9,20,0.07
"Pseudomonas sp. 286 isolate p8.B8, whole genome shotgun sequence",GCF_900601495.1_p8.B8_genomic.fna,NZ_UWDG01000051.1,sp.,REFSEQ,4,4_UWDG01000051,53,21,17,17,16,16,5903402,5892801,5883430,5883430,5863758,5863758,23,830576,5893944,686604,379589,4,7,0.02
"Pseudomonas hussainii strain JCM 19513, whole genome shotgun sequence",GCF_900109735.1_IMG-taxon_2663763602_annotated_assembly_genomic.fna,NZ_FOAS01000045.1,hussainii,REFSEQ,127,127_FOAS01000045,45,45,31,27,22,21,3682314,3682314,3659339,3634285,3551178,3523166,45,359612,3682314,215245,157754,7,12,42.53
"Pseudomonas rhodesiae strain FF9, whole genome shotgun sequence",GCF_000821225.2_ASM82122v2_genomic.fna,NZ_LN623544.1,rhodesiae,REFSEQ,128,128_LN623544,13,13,9,8,7,7,6051076,6051076,6038680,6033185,6020594,6020594,13,2873496,6051076,968239,835179,2,3,16.76
"Pseudomonas extremaustralis isolate DSM 17835T, whole genome shotgun sequence",GCF_900625045.1_DSM_17835T_genomic.fna,NZ_UYXU01000001.1,extremaustralis,REFSEQ,34,34_UYXU01000001,152,104,64,58,51,38,6601105,6577435,6504685,6467542,6360422,5871083,127,452490,6593412,182251,89976,11,25,0.0
"Pseudomonas sp. 286 isolate p6.D9, whole genome shotgun sequence",GCF_900600105.1_p6.D9_genomic.fna,NZ_UVYC01000029.1,sp.,REFSEQ,4,4_UVYC01000029,29,21,21,19,19,18,6076705,6074384,6074384,6061264,6061264,6020527,21,890073,6074384,495404,315373,5,9,0.07
"Pseudomonas aeruginosa BL01 adgeu-supercont1.1, whole genome shotgun sequence",GCF_000481125.1_Pseu_aeru_BL01_V1_genomic.fna,NZ_KI518955.1,aeruginosa,REFSEQ,1,1_KI518955,4,4,3,3,3,2,6436151,6436151,6434815,6434815,6434815,6390672,4,4886618,6436151,4886618,4886618,1,1,610.02
"Pseudomonas sp. 286 isolate p8.H6, whole genome shotgun sequence",GCF_900602125.1_p8.H6_genomic.fna,NZ_UWFS01000369.1,sp.,REFSEQ,4,4_UWFS01000369,370,52,37,34,30,28,5959580,5847519,5818399,5794826,5734728,5653374,67,724074,5857560,279814,143339,7,14,0.0
"Pseudomonas aeruginosa strain HIAE_PA08 10c, whole genome shotgun sequence",GCF_003055325.1_ASM305532v1_genomic.fna,NZ_QBEO01000010.1,aeruginosa,REFSEQ,1,1_QBEO01000010,30,25,21,21,20,18,6443673,6440047,6427768,6427768,6411698,6324399,30,1051998,6443673,502120,275245,5,9,0.0
"Pseudomonas aeruginosa strain Pae_CF67.07h CF67.07h_contig_1, whole genome shotgun sequence",GCF_001037225.1_ASM103722v1_genomic.fna,NZ_LEFY01000001.1,aeruginosa,REFSEQ,1,1_LEFY01000001,155,102,80,72,58,40,6404295,6381425,6337777,6286852,6039278,5375271,117,466951,6392443,131975,68303,14,31,29.6
"Pseudomonas aeruginosa strain AUS058 IPC306_1.1, whole genome shotgun sequence",GCF_003839445.1_ASM383944v1_genomic.fna,NZ_NSYH01000001.1,aeruginosa,REFSEQ,1,1_NSYH01000001,92,87,82,74,62,42,6062020,6058341,6044679,5986162,5777597,4986366,92,431203,6062020,113062,58333,16,34,26.48
"Pseudomonas aeruginosa strain AUS106 IPC355_1.1, whole genome shotgun sequence",GCF_003840585.1_ASM384058v1_genomic.fna,NZ_NSXP01000001.1,aeruginosa,REFSEQ,1,1_NSXP01000001,27,25,19,19,18,17,6351198,6349925,6335401,6335401,6315111,6269776,27,1262863,6351198,772391,499351,4,6,1.4
"Pseudomonas aeruginosa strain S443_C09_RS S443_C09_RS_NODE_100_length_730, whole genome shotgun sequence",GCF_002136015.1_ASM213601v1_genomic.fna,NZ_NFGD01000100.1,aeruginosa,REFSEQ,1,1_NFGD01000100,114,93,63,49,41,34,6993317,6980963,6909132,6824721,6708585,6422533,103,762626,6989054,219047,109544,9,20,12.53
"Pseudomonas sp. MPR-ANB1 NODE_100_length_25146_cov_32.3368, whole genome shotgun sequence",GCF_002883355.1_MPR-ANB1_genomic.fna,NZ_POGB01000100.1,sp.,REFSEQ,4,4_POGB01000100,260,213,177,157,100,48,7443934,7424108,7339170,7192523,6183857,4332756,228,209787,7434910,63763,34132,38,79,0.0
Pseudomonas fluorescens strain FW300-N2E2 genome,GCF_001623525.1_ASM162352v1_genomic.fna,NZ_CP015225.1,fluorescens,REFSEQ,9,9_CP015225,1,1,1,1,1,1,6921098,6921098,6921098,6921098,6921098,6921098,1,6921098,6921098,6921098,6921098,1,1,28.9
"Pseudomonas aeruginosa strain F69A isolate IST27N IPC85_1.1, whole genome shotgun sequence",GCF_003698685.1_ASM369868v1_genomic.fna,NZ_MCMW01000001.1,aeruginosa,REFSEQ,1,1_MCMW01000001,23,21,18,17,16,14,6326795,6325229,6317939,6312701,6292207,6214089,23,1208739,6326795,612142,493175,4,7,1.41
"Pseudomonas aeruginosa strain Jp245 IPC756_1.1, whole genome shotgun sequence",GCF_003836545.1_ASM383654v1_genomic.fna,NZ_NSTN01000001.1,aeruginosa,REFSEQ,1,1_NSTN01000001,71,66,51,43,36,31,6949410,6945598,6905701,6849506,6719251,6556346,71,899041,6949410,254911,180786,8,16,3.01
"Pseudomonas aeruginosa strain WH-SGI-V-07484 WH-SGI-V-07484_contig1, whole genome shotgun sequence",GCF_001451565.1_WH-SGI-V-07484_genomic.fna,NZ_LLPQ01000001.1,aeruginosa,REFSEQ,1,1_LLPQ01000001,92,56,36,33,29,24,6707423,6691024,6635426,6619334,6552242,6362790,66,741608,6697996,427240,209800,6,13,0.0
"Pseudomonas aeruginosa strain HUM-397 PA2_E9_NODE_100_length_20346_cov_33.2491_ID_199, whole genome shotgun sequence",GCF_003630915.1_ASM363091v1_genomic.fna,NZ_RACA01000248.1,aeruginosa,REFSEQ,1,1_RACA01000248,535,535,308,205,73,22,6752424,6752424,6139304,5395156,3319139,1571757,535,121780,6752424,24771,12023,76,175,0.0
"Pseudomonas sp. B35(2017) B35_1, whole genome shotgun sequence",GCF_002113645.1_ASM211364v1_genomic.fna,NZ_NEIZ01000001.1,sp.,REFSEQ,4,4_NEIZ01000001,54,49,36,33,30,27,6237636,6234481,6203935,6186885,6126947,6019280,54,795462,6237636,245109,155624,7,15,11.82
"Pseudomonas sp. 286 isolate p20.F2, whole genome shotgun sequence",GCF_900584045.1_p20.F2_genomic.fna,NZ_UTOD01000087.1,sp.,REFSEQ,4,4_UTOD01000087,87,59,51,47,39,35,5992823,5981793,5964777,5939086,5819370,5670506,63,498216,5984889,188103,97562,10,21,0.02
"Pseudomonas aeruginosa isolate XDR-PA, whole genome shotgun sequence",GCF_900707655.1_CAT04-032_genomic.fna,NZ_CAADMH010000001.1,aeruginosa,REFSEQ,1,1_CAADMH010000001,1029,847,435,238,21,4,6734564,6599953,5542602,4117753,792950,234540,1029,59433,6734564,12402,6672,170,351,0.0
"Pseudomonas sp. MPR-R2A7 NODE_100_length_25167_cov_28.9915, whole genome shotgun sequence",GCF_002882515.1_MPR-R2A7_genomic.fna,NZ_POFR01000100.1,sp.,REFSEQ,4,4_POFR01000100,320,224,189,164,100,50,7452371,7420454,7334089,7151355,6028253,4317340,236,209787,7429130,61851,29266,40,84,0.0
"Pseudomonas aeruginosa strain HUM-319-D2 PA2_C5_NODE_100_length_19628_cov_24.0381_ID_199, whole genome shotgun sequence",GCF_003632815.1_ASM363281v1_genomic.fna,NZ_RAAT01000136.1,aeruginosa,REFSEQ,1,1_RAAT01000136,424,423,264,172,73,21,6622496,6621568,6193445,5495482,3907316,1956269,424,232124,6622496,33920,14741,54,129,0.0
"Pseudomonas resinovorans DSM 21078 G559DRAFT_scaffold00001.1_C, whole genome shotgun sequence",GCF_000423545.1_ASM42354v1_genomic.fna,NZ_AUIE01000001.1,resinovorans,REFSEQ,129,129_AUIE01000001,53,53,47,47,36,32,6027681,6027681,6012926,6012926,5818090,5669840,53,564385,6027681,197842,121283,10,20,63.13
"Pseudomonas aeruginosa strain AZPAE14818 AZPAE14818_contig_1, whole genome shotgun sequence",GCF_000795185.1_AZPAE14818_genomic.fna,NZ_JTVQ01000001.1,aeruginosa,REFSEQ,1,1_JTVQ01000001,97,88,59,49,44,28,6303594,6296791,6241249,6171746,6095686,5493904,97,762352,6303594,268993,91329,7,18,96.17
"Pseudomonas aeruginosa strain B1486 GCID_CRPK_0020_NODE_1.ctg_1, whole genome shotgun sequence",GCF_003955265.1_ASM395526v1_genomic.fna,NZ_RWWV01000018.1,aeruginosa,REFSEQ,1,1_RWWV01000018,169,158,130,118,87,51,6910289,6902623,6844633,6762994,6197242,4809824,169,208621,6910289,81830,44792,30,59,0.0
"Pseudomonas aeruginosa strain env092b NODE_10_length_236321_cov_10.2378, whole genome shotgun sequence",GCF_002330385.1_ASM233038v1_genomic.fna,NZ_NRBD01000010.1,aeruginosa,REFSEQ,1,1_NRBD01000010,66,58,46,43,41,33,6648363,6644689,6616328,6598996,6567102,6282523,61,664066,6646754,300181,156602,8,16,0.0
"Pseudomonas aeruginosa strain Pae_CF67.10e CF67.10e_contig_1, whole genome shotgun sequence",GCF_001035765.1_ASM103576v1_genomic.fna,NZ_LEID01000001.1,aeruginosa,REFSEQ,1,1_LEID01000001,153,97,67,59,51,37,6403039,6379567,6314184,6263140,6121587,5608802,111,569981,6390106,147863,93508,11,26,23.22
"Pseudomonas aeruginosa strain E2_London_17_VIM_2_02_09, whole genome shotgun sequence",GCF_001180465.1_E2_London_17_VIM_2_02_09_genomic.fna,NZ_CVUZ01000001.1,aeruginosa,REFSEQ,1,1_CVUZ01000001,309,254,200,159,88,41,7026469,7006909,6876367,6583296,5297197,3549764,265,190927,7015072,52642,26796,41,87,0.0
"Pseudomonas aeruginosa strain SJU-S6_1 NODE_10_length_202445_cov_58.6303, whole genome shotgun sequence",GCF_002329905.1_ASM232990v1_genomic.fna,NZ_NRFJ01000010.1,aeruginosa,REFSEQ,1,1_NRFJ01000010,71,51,38,36,36,27,6223377,6213274,6186575,6175467,6175467,5845738,60,735166,6219990,276967,155555,6,14,0.0
"Pseudomonas aeruginosa isolate XDR-PA, whole genome shotgun sequence",GCF_900707455.1_CAN01-028_genomic.fna,NZ_CAADLN010000001.1,aeruginosa,REFSEQ,1,1_CAADLN010000001,1565,1314,444,125,3,0,6457324,6275206,4039032,1818532,81748,0,1565,30128,6457324,6397,3644,301,635,0.0
"Pseudomonas aeruginosa strain VET-32 NODE_10_length_211138_cov_33.3659_ID_19, whole genome shotgun sequence",GCF_003630365.1_ASM363036v1_genomic.fna,NZ_RADC01000043.1,aeruginosa,REFSEQ,1,1_RADC01000043,98,70,55,53,45,33,6412784,6399207,6373864,6361712,6233003,5787750,80,482379,6406606,204704,112194,11,21,0.02
"Pseudomonas sp. 286 isolate p8.D4, whole genome shotgun sequence",GCF_900601745.1_p8.D4_genomic.fna,NZ_UWEH01000512.1,sp.,REFSEQ,4,4_UWEH01000512,515,43,33,31,29,26,6719959,6552265,6527430,6512231,6477068,6376356,68,893684,6567474,425523,166502,5,12,0.03
"Pseudomonas syringae pv. actinidiae strain ICMP 19198 PsaICMP19198_Contig_1, whole genome shotgun sequence",GCF_003700405.1_ASM370040v1_genomic.fna,NZ_RBRZ01000042.1,syringae,REFSEQ,0,0_RBRZ01000042,122,81,68,61,51,41,5961922,5948627,5917773,5871907,5690926,5351270,85,382789,5951037,134323,78530,14,28,40.98
"Pseudomonas aeruginosa MRW44.1 contig00001, whole genome shotgun sequence",GCF_000282915.1_MWR44.1-1.0_genomic.fna,NZ_ALBW01000001.1,aeruginosa,REFSEQ,1,1_ALBW01000001,54,51,38,34,32,22,6266909,6265125,6241346,6217566,6190797,5854640,54,656496,6266909,393582,211793,6,12,0.0
"Pseudomonas aeruginosa strain WH-SGI-V-07186 WH-SGI-V-07186_contig1, whole genome shotgun sequence",GCF_001449765.1_WH-SGI-V-07186_genomic.fna,NZ_LLMQ01000001.1,aeruginosa,REFSEQ,1,1_LLMQ01000001,167,93,65,55,46,36,6754761,6730418,6667385,6598079,6456848,6088007,102,583254,6736792,203897,92485,11,23,0.0
"Pseudomonas aeruginosa strain AZPAE15048 AZPAE15048_contig_1, whole genome shotgun sequence",GCF_000793135.1_AZPAE15048_genomic.fna,NZ_JTMY01000001.1,aeruginosa,REFSEQ,1,1_JTMY01000001,128,110,81,69,59,40,6924072,6911273,6846325,6770460,6585467,5908850,128,459394,6924072,155421,81452,15,30,72.79
"Pseudomonas aeruginosa strain 4104355315 IPC1520_1.1, whole genome shotgun sequence",GCF_004370295.1_ASM437029v1_genomic.fna,NZ_RWLY01000001.1,aeruginosa,REFSEQ,1,1_RWLY01000001,25,22,20,17,15,14,6836271,6833730,6829006,6808130,6772761,6734350,25,954723,6836271,795852,552936,4,7,1.59
"Pseudomonas syringae pv. syringae B301D, complete genome",GCF_000988485.1_ASM98848v1_genomic.fna,NZ_CP005969.1,syringae,REFSEQ,0,0_CP005969,1,1,1,1,1,1,6094819,6094819,6094819,6094819,6094819,6094819,1,6094819,6094819,6094819,6094819,1,1,0.0
"Pseudomonas helleri strain DSM 28141 100_4170_15.8466, whole genome shotgun sequence",GCF_001043065.1_MG839_genomic.fna,NZ_JYLE01000100.1,helleri,REFSEQ,101,101_JYLE01000100,167,137,99,86,64,45,5865263,5842288,5762164,5665932,5307466,4587173,167,207403,5865263,93177,53192,21,42,0.0
"Pseudomonas aeruginosa strain 145 scaffold_0, whole genome shotgun sequence",GCF_004350125.1_ASM435012v1_genomic.fna,NZ_SCXK01000001.1,aeruginosa,REFSEQ,1,1_SCXK01000001,117,114,87,72,62,41,6923444,6921373,6852512,6749436,6559693,5711429,117,575264,6923444,128827,72680,16,33,9.16
"Pseudomonas amygdali pv. morsprunorum strain HRI-W 5269 mors5269_contig_1, whole genome shotgun sequence",GCF_001535785.1_ASM153578v1_genomic.fna,NZ_LIHZ01000001.1,amygdali,REFSEQ,5,5_LIHZ01000001,157,102,76,63,51,38,6183293,6158655,6088457,6001318,5781396,5322099,113,553771,6165580,145957,72075,13,28,0.0
"Pseudomonas sp. S10E 269 S3E10, whole genome shotgun sequence",GCF_002798465.1_ASM279846v1_genomic.fna,NZ_PHIJ01000001.1,sp.,REFSEQ,4,4_PHIJ01000001,2,2,2,2,2,1,6520822,6520822,6520822,6520822,6520822,6476893,2,6476893,6520822,6476893,6476893,1,1,0.0
"Pseudomonas savastanoi strain SBV_12848 Scaffold1, whole genome shotgun sequence",GCF_008502015.1_ASM850201v1_genomic.fna,NZ_QUSH01000001.1,savastanoi,REFSEQ,8,8_QUSH01000001,274,231,125,100,71,42,6164670,6134259,5878339,5695899,5222478,4147757,274,225501,6164670,72274,40762,24,53,160.64
"Pseudomonas aeruginosa strain AZPAE15009 AZPAE15009_contig_1, whole genome shotgun sequence",GCF_000792845.1_AZPAE15009_genomic.fna,NZ_JTOL01000001.1,aeruginosa,REFSEQ,1,1_JTOL01000001,107,98,80,67,61,40,6958019,6951531,6913182,6820321,6696967,5852926,107,419081,6958019,149050,84344,15,31,58.9
"Pseudomonas aeruginosa strain TUM17825 sequence001, whole genome shotgun sequence",GCF_003967475.1_ASM396747v1_genomic.fna,NZ_BIFN01000001.1,aeruginosa,REFSEQ,1,1_BIFN01000001,219,187,152,126,91,39,6881717,6862462,6767815,6588023,6057597,4191454,208,286697,6877482,71978,36794,27,62,0.0
"Pseudomonas sp. 286 isolate p26.B10, whole genome shotgun sequence",GCF_900588125.1_p26.B10_genomic.fna,NZ_UUDT01000051.1,sp.,REFSEQ,4,4_UUDT01000051,51,46,41,39,38,28,5854475,5853269,5839662,5827240,5814878,5479479,46,637051,5853269,197437,144591,8,17,0.05
"Pseudomonas syringae pv. actinidiae strain MAFF212063 chromosome, complete genome",GCF_002763655.1_ASM276365v1_genomic.fna,NZ_CP024712.1,syringae,REFSEQ,0,0_CP024712,3,3,3,3,3,3,6693471,6693471,6693471,6693471,6693471,6693471,3,6556999,6693471,6556999,6556999,1,1,0.0
"Pseudomonas aeruginosa strain RNS_PAE08 scaffold1.1, whole genome shotgun sequence",GCF_002406345.1_ASM240634v1_genomic.fna,NZ_LVEF01000001.1,aeruginosa,REFSEQ,1,1_LVEF01000001,273,252,193,150,88,40,7017577,7001890,6841541,6539440,5500281,3754167,273,274698,7017577,53956,28620,36,80,13.0
Pseudomonas sp. S09G 359 chromosome,GCF_002843605.1_ASM284360v1_genomic.fna,NZ_CP025263.1,sp.,REFSEQ,4,4_CP025263,1,1,1,1,1,1,6767994,6767994,6767994,6767994,6767994,6767994,1,6767994,6767994,6767994,6767994,1,1,1.48
"Pseudomonas sp. CF161 C6161_65.0_sample161, whole genome shotgun sequence",GCF_000416215.1_ASM41621v1_genomic.fna,NZ_ATLP01000001.1,sp.,REFSEQ,4,4_ATLP01000001,132,114,90,78,59,38,6908137,6899899,6832473,6741785,6421326,5672539,122,336113,6905518,152761,74152,15,31,0.25
